# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 16:12:18
# Scanner Center Position (X, Y):	[µm]	49.66	48.17	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.200
# Pixel Area (X, Y, Z):	[px]	1	1	200
# Averaging:	 	1	 	 
# Integration time:	[ms]	50	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	7.502	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	238,800.109	 	 
# Tip Amplitude:	[mV]	13.000	 	 
# Tapping Amplitude:	[nm]	72.109	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	452.3	 	 
# Version:	 	2.1.11536.0
Row	Column	Run	Depth	Z	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	55	8.435246E-07	196.10728	0	81.45873	1.8545625	0.40013713	-0.5417183	0.24864025	-2.4043412	0.0017570487	-0.8248122	7.893159E-05	0.5190956	92.42119	0	9.431031	2.8346338	1.8919898	-0.5686059	0.13973019	2.1759882	0.027453763	-1.1133846	0.0003260576	3.1111333	
0	0	0	56	8.445214E-07	196.09207	0	81.45958	1.856765	0.39802969	-0.5258157	0.24905735	-2.3985472	0.0015139856	0.34448794	8.492509E-05	-1.8614908	92.58806	0	9.343332	2.8351696	1.8873433	-0.58836395	0.1320146	2.2765226	0.020416945	-0.98293424	0.00018540186	-0.029902041	
0	0	0	57	8.4553466E-07	196.09506	0	81.43628	1.857323	0.40229228	-0.53214985	0.24960846	-2.3936658	0.0014110877	-1.079755	0.00014972247	1.7185192	92.25973	0	9.087607	2.8377388	1.8909986	-0.5797659	0.17946643	2.116115	0.039487556	-2.604943	0.00025058445	-2.5441725	
0	0	0	58	8.4653965E-07	196.10056	0	81.412796	1.8576746	0.40267324	-0.53293425	0.2496169	-2.4076214	0.0017115128	-0.0037858908	0.0004072973	1.1846684	92.4747	0	8.948453	2.833138	1.8172561	-0.57685053	0.14244455	2.234193	0.03556165	-1.0391337	0.00017269104	-3.1318872	
0	0	0	59	8.4754475E-07	196.08519	0	81.41377	1.8586116	0.40110424	-0.5307774	0.24681064	-2.3928185	0.0016338485	0.36355025	0.0002848951	1.5025285	92.51492	0	8.849575	2.8285635	1.8213722	-0.56732786	0.16489281	2.466124	0.033902116	-1.9917096	0.00011237133	3.040595	
0	0	0	60	8.485415E-07	196.0815	0	81.4154	1.8583959	0.40259644	-0.5280018	0.24642065	-2.3957925	0.0026370606	-0.47909176	0.00020939443	-1.6783271	92.28561	0	8.607359	2.8379493	1.7707148	-0.5753894	0.09921035	2.5196922	0.023883864	-0.4156211	0.00013900509	0.9003172	
0	0	0	61	8.495548E-07	196.09195	0	81.38956	1.8572533	0.4000276	-0.5355061	0.24663217	-2.397351	0.0007192465	-0.88616055	0.00023664105	0.59034544	92.55159	0	8.487977	2.8298595	1.8064861	-0.5610135	0.11996509	2.1032782	0.018269734	-1.4317715	0.00014247223	1.898276	
0	0	0	62	8.505598E-07	196.07457	0	81.3935	1.8561934	0.3974274	-0.5326654	0.24840602	-2.403985	0.0023868044	-0.09951169	0.00028534472	0.68640673	93.2091	0	8.345936	2.8263323	1.7639416	-0.6007605	0.1618298	2.0948124	0.017997762	-1.6711737	0.00048407077	-2.5149274	
0	0	0	63	8.5156483E-07	196.06686	0	81.33114	1.8580701	0.40100837	-0.52852035	0.2473465	-2.3968816	0.00089607044	0.42541248	0.00022210114	-2.738342	92.23727	0	8.179924	2.8341193	1.7581371	-0.5716749	0.094778754	2.2049768	0.056783035	-1.1465563	0.00018422793	-3.0352037	
0	0	0	64	8.525616E-07	196.07674	0	81.34797	1.8572996	0.3983876	-0.5338824	0.24675155	-2.3944635	0.0019393243	-0.08754229	0.00022692721	-1.5677458	92.797104	0	8.008531	2.8353531	1.7626396	-0.5770202	0.12629437	2.3179088	0.0100239385	-1.1131502	0.00062465813	1.9903334	
