# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 11:05:45
# Reference:	 	10/07/2025 11:05:45 
# Scanner Center Position (X, Y):	[µm]	51.69	50.15	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	600.000	 
# Averaging:	 	12	 	 
# Integration time:	[ms]	10	 	 
# Wavenumber Scaling:	 	1.000000	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	7.502	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	241,340.500	 	 
# Tip Amplitude:	[mV]	45.700	 	 
# Tapping Amplitude:	[nm]	78.823	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	487.4	 	 
# Version:	 	2.1.11536.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	231	481.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	232	483.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	233	485.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	234	487.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	235	489.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	236	491.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	237	493.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	238	495.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	239	497.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	240	500	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	241	502.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	242	504.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	243	506.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	244	508.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	245	510.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	246	512.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	247	514.5833333333334	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	248	516.6666666666666	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	249	518.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	250	520.8333333333334	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	251	522.9166666666666	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	252	525	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	253	527.0833333333334	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	254	529.1666666666666	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	255	531.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	256	533.3333333333334	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	257	535.4166666666666	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	258	537.5	0	0	0	0	0	0	0	0	0	0	0	0	
